the_geom,MeterType,MeterNo,LONG,LAT,Status
POINT (-73.8302037221835 40.75810958027428),Strada,4873008,-73.8302037222,40.7581095803,Inactive
POINT (-73.8277176316887 40.75800887300156),Strada,4063108,-73.8277176317,40.758008873,Active
POINT (-73.73488512957317 40.770567811792084),Strada,4333123,-73.7348851296,40.7705678118,Active
POINT (-73.73514536291026 40.770903959128646),Strada,4333124,-73.7351453629,40.7709039591,Active
POINT (-73.73532324761157 40.771049002871365),Strada,4333135,-73.7353232476,40.7710490029,Active
POINT (-73.82873018865355 40.758131406448925),Strada,4063111,-73.8287301887,40.7581314064,Inactive
POINT (-73.82806918653107 40.755146532975424),Strada,4063134,-73.8280691865,40.755146533,Active
POINT (-73.74379568376575 40.76550963114509),Strada,4333101,-73.7437956838,40.7655096311,Active
POINT (-73.74842869156838 40.76798627402551),Strada,4333106,-73.7484286916,40.767986274,Active
POINT (-73.8244816884366 40.74802639691899),Strada,4513033,-73.8244816884,40.7480263969,Active
POINT (-74.07288822875087 40.642865985634955),Strada,5790205,-74.0728882288,40.6428659856,Active
POINT (-73.9560812057501 40.78445177350622),Strada,1273020,-73.9560812058,40.7844517735,Active
POINT (-73.95307519424146 40.78278924973574),Strada,1273063,-73.9530751942,40.7827892497,Active
POINT (-73.73146164471999 40.7600475356994),Strada,4333140,-73.7314616447,40.7600475357,Active
POINT (-73.81770915009056 40.67598166440155),Strada,4483131,-73.8177091501,40.6759816644,Active
POINT (-73.7726244225103 40.75958021203006),Strada,4213037,-73.7726244225,40.759580212,Active
POINT (-73.94846295220853 40.64119701131885),Strada,3043213,-73.9484629522,40.6411970113,Active
POINT (-73.97043066317208 40.651465218273536),Strada,3043219,-73.9704306632,40.6514652183,Active
POINT (-73.96985150682438 40.65169132741916),Strada,3043220,-73.9698515068,40.6516913274,Active
POINT (-73.95570156564835 40.61020592509537),Strada,3053009,-73.9557015656,40.6102059251,Active
POINT (-73.95949649017372 40.60817695150377),Strada,3053055,-73.9594964902,40.6081769515,Active
POINT (-73.95064216027463 40.59940625132405),Strada,3063062,-73.9506421603,40.5994062513,Active
POINT (-73.94996667424296 40.599601429333184),Strada,3063091,-73.9499666742,40.5996014293,Active
POINT (-73.94218877503992 40.60507312365655),Strada,3063178,-73.942188775,40.6050731237,Active
POINT (-73.80484522002311 40.72316246512184),Strada,4433051,-73.80484522,40.7231624651,Active
POINT (-73.78246783230277 40.741694566391175),Strada,4423131,-73.7824678323,40.7416945664,Active
POINT (-74.07554661381299 40.64399627667457),Strada,5780282,-74.0755466138,40.6439962767,Inactive
POINT (-73.73346561795962 40.71259151929025),Strada,4503102,-73.733465618,40.7125915193,Active
POINT (-73.77219292925082 40.765728147161894),Strada,4213009,-73.7721929293,40.7657281472,Active
POINT (-73.81588257825202 40.71812329063474),Strada,4433065,-73.8158825783,40.7181232906,Active
POINT (-73.86970533390593 40.72432526768139),Strada,4493122,-73.8697053339,40.7243252677,Active
POINT (-73.94251304568584 40.60260086138905),Strada,3063194,-73.9425130457,40.6026008614,Active
POINT (-73.98682436025807 40.59759834942097),Strada,3071364,-73.9868243603,40.5975983494,Active
POINT (-73.9909685552092 40.6002950020587),Strada,3071373,-73.9909685552,40.6002950021,Active
POINT (-73.99277125989485 40.60120076316057),Strada,3073014,-73.9927712599,40.6012007632,Active
POINT (-73.99339778431853 40.60247783576989),Strada,3073026,-73.9933977843,40.6024778358,Active
POINT (-73.92138595704071 40.75592478237518),Strada,4073007,-73.921385957,40.7559247824,Active
POINT (-73.92031146310073 40.75724560161503),Strada,4073009,-73.9203114631,40.7572456016,Active
POINT (-73.9199315821604 40.757714495196836),Strada,4073010,-73.9199315822,40.7577144952,Active
POINT (-73.91719441154004 40.7610820658481),Strada,4073017,-73.9171944115,40.7610820658,Active
POINT (-73.7360581699558 40.769624475067545),Strada,4333116,-73.73605817,40.7696244751,Active
POINT (-73.81739147740306 40.70000575264395),Strada,4323138,-73.8173914774,40.7000057526,Active
POINT (-73.91666200546857 40.76172804002949),Strada,4073018,-73.9166620055,40.76172804,Active
POINT (-73.91237238086386 40.767225869008534),Strada,4073031,-73.9123723809,40.767225869,Active
POINT (-73.91547987549446 40.76341164588308),Strada,4073038,-73.9154798755,40.7634116459,Active
POINT (-73.91690419931304 40.761658367317175),Strada,4073041,-73.9169041993,40.7616583673,Active
POINT (-73.92003195382853 40.75781608698706),Strada,4073047,-73.9200319538,40.757816087,Active
POINT (-73.90245495007376 40.70110411774963),Strada,4093020,-73.9024549501,40.7011041177,Active
POINT (-73.9112978958791 40.76854622854401),Strada,4073028,-73.9112978959,40.7685462285,Active
POINT (-73.99858199557158 40.604910349844275),Strada,3073086,-73.9985819956,40.6049103498,Active
POINT (-73.96347869264581 40.57707811949708),Strada,3083013,-73.9634786926,40.5770781195,Active
POINT (-73.96304634128624 40.57717209683556),Strada,3083015,-73.9630463413,40.5771720968,Inactive
POINT (-73.96063806386339 40.57807828337624),Strada,3083042,-73.9606380639,40.5780782834,Active
POINT (-74.00070044715767 40.6057882508423),Strada,3073108,-74.0007004472,40.6057882508,Active
POINT (-73.9615364291006 40.5778893911207),Strada,3083064,-73.9615364291,40.5778893911,Active
POINT (-73.96133542067767 40.5773816819103),Strada,3083065,-73.9613354207,40.5773816819,Active
POINT (-73.96225116855032 40.57717677408178),Strada,3083066,-73.9622511686,40.5771767741,Active
POINT (-74.03078609281734 40.61626772094511),Strada,3091519,-74.0307860928,40.6162677209,Active
POINT (-74.0254963082249 40.62116063218356),Strada,3093006,-74.0254963082,40.6211606322,Active
POINT (-73.98820537313183 40.621195004843536),Strada,3103003,-73.9882053731,40.6211950048,Active
POINT (-73.92094941655917 40.63089345891995),Strada,3333126,-73.9209494166,40.6308934589,Planned
POINT (-73.91900469781108 40.698782468682616),Strada,3303044,-73.9190046978,40.6987824687,Active
POINT (-73.87888862929907 40.737301635291196),Strada,4413162,-73.8788886293,40.7373016353,Active
POINT (-74.00609995651949 40.60923887007604),Strada,3073105,-74.0060999565,40.6092388701,Active
POINT (-73.92684114633599 40.61966504425739),Strada,3593038,-73.9268411463,40.6196650443,Active
POINT (-73.94700707814607 40.78459775301514),Strada,1263062,-73.9470070781,40.784597753,Active
POINT (-73.94974764066046 40.78082908500623),Strada,1263080,-73.9497476407,40.780829085,Active
POINT (-73.89823980626451 40.70838140702399),Strada,4263025,-73.8982398063,40.708381407,Active
POINT (-73.77573447188426 40.71449416673421),Strada,4243104,-73.7757344719,40.7144941667,Active
POINT (-73.76525763278093 40.71855733283174),Strada,4243108,-73.7652576328,40.7185573328,Active
POINT (-73.81996617988301 40.704034414548595),Strada,4323123,-73.8199661799,40.7040344145,Active
POINT (-73.81883469706011 40.704002167663624),Strada,4323122,-73.8188346971,40.7040021677,Active
POINT (-73.81581338750138 40.704688678953524),Strada,4323121,-73.8158133875,40.704688679,Active
POINT (-73.81792030692439 40.70779557633467),Strada,4323117,-73.8179203069,40.7077955763,Active
POINT (-73.76950745673489 40.762802579873735),Strada,4213061,-73.7695074567,40.7628025799,Active
POINT (-73.89895117556006 40.70056148716165),Strada,4093059,-73.8989511756,40.7005614872,Active
POINT (-73.90321089041167 40.699800322016586),Strada,4093045,-73.9032108904,40.699800322,Active
POINT (-73.99735541983279 40.71678197611203),Strada,1243121,-73.9973554198,40.7167819761,Active
POINT (-73.9987123029136 40.71286021190307),Strada,1243117,-73.9987123029,40.7128602119,Active
POINT (-73.97397599161634 40.74334357845204),Strada,1263003,-73.9739759916,40.7433435785,Active
POINT (-73.9609462067053 40.76121911308865),Strada,1263036,-73.9609462067,40.7612191131,Retired
POINT (-73.9430412181125 40.78962379145711),Strada,1263066,-73.9430412181,40.7896237915,Active
POINT (-73.9051689758097 40.70138743939631),Strada,4093072,-73.9051689758,40.7013874394,Active
POINT (-73.90275559212456 40.7002642560627),Strada,4093049,-73.9027555921,40.7002642561,Active
POINT (-73.90049180986408 40.7002960111418),Strada,4093054,-73.9004918099,40.7002960111,Active
POINT (-73.8349931497885 40.760892005017986),Strada,4063061,-73.8349931498,40.760892005,Active
POINT (-73.89916894449249 40.70036783379431),Strada,4093066,-73.8991689445,40.7003678338,Removed
POINT (-73.8997875687701 40.70018809594665),Strada,4093065,-73.8997875688,40.7001880959,Active
POINT (-73.90729609664093 40.70004598583806),Strada,4093076,-73.9072960966,40.7000459858,Active
POINT (-73.90790123232568 40.69997746806961),Strada,4093077,-73.9079012323,40.6999774681,Active
